R&D Spend,Profit
165349.2,192261.83
162597.7,191792.06
153441.51,191050.39
144372.41,182901.99
142107.34,166187.94
131876.9,156991.12
134615.46,156122.51
130298.13,155752.6
120542.52,152211.77
123334.88,149759.96
101913.08,146121.95
100671.96,144259.4
93863.75,141585.52
91992.39,134307.35
119943.24,132602.65
114523.61,129917.04
78013.11,126992.93
94657.16,125370.37
91749.16,124266.9
86419.7,122776.86
76253.86,118474.03
78389.47,111313.02
73994.56,110352.25
67532.53,108733.99
77044.01,108552.04
64664.71,107404.34
75328.87,105733.54
72107.6,105008.31
66051.52,103282.38
65605.48,101004.64
61994.48,99937.59
61136.38,97483.56
63408.86,97427.84
55493.95,96778.92
46426.07,96712.8
46014.02,96479.51
28663.76,90708.19
44069.95,89949.14
20229.59,81229.06
38558.51,81005.76
28754.33,78239.91
27892.92,77798.83
23640.93,71498.49
15505.73,69758.98
22177.74,65200.33
1000.23,64926.08
1315.46,49490.75
0,42559.73
542.05,35673.41
0,14681.4
87151,123485.2464
38772,82155.48418
89939,125867.0108
65485,104976.1696
47724,89803.10053
30744,75297.23305
76381,114284.5283
143923,171985.0761
27280,72337.96774
141092,169566.5772
128338,158670.9451
76660,114522.8756
43088,85842.60573
60955,101106.2297
12052,59328.81874
126549,157142.6178
22986,68669.64059
150633,177717.3712
53116,94409.4396
157923,183945.1553
39157,82484.38635
111768,144515.3371
65903,105333.2634
85800,122331.0988
139796,168459.4156
13947,60947.70089
133094,162733.9549
155148,181574.4968
28731,73577.54452
41847,84782.43014
140277,168870.3298
27595,72607.06952
9078,56788.15621
21586,67473.63267
4330,52731.98078
106761,140237.9002
137618,166598.769
63161,102990.7964
34384,78406.85364
73431,111764.3688
17125,63662.63887
109497,142575.2414
78366,115980.2967
98190,132915.7689
125158,155954.2985
138570,167412.0544
46445,88710.46186
134739,164139.2642
96620,131574.5314
140797,169314.5613
44017,86636.24242
150342,177468.7724
127529,157979.8234
9261,56944.49153
57905,98500.64098
44699,87218.86913
151853,178759.6067
61613,101668.3534
120275,151782.7938
23224,68872.96194
105331,139016.2635
23501,69109.60065
7092,55091.53354
102136,136286.8026
85772,122307.1786
123288,154356.7737
76992,114806.5004
7715,55623.75707
29104,73896.1952
144996,172901.7308
94169,129480.6633
78261,115890.5961
140902,169404.2619
131845,161666.9449
